Eigenschaften,	,Characteristics
alt,	,old
ernst,	,serious
exzentrisch,	,eccentric
fantastisch,	,fantastic
faul,	,lazy
fleißig,	,"hardworking, diligent"
freundlich/unfreundlich,	,friendly/unfriendly
groß,	,tall
gut,	,"good, well"
Er tanzt gut.,	,He dances well.
humorvoll,	,humorous
interessant,	,interesting
kompliziert,	,complicated
konservativ,	,conservative
langweilig,	,boring
lustig,	,cheerful; fun-loving
nett,	,nice
neugierig,	,curious
praktisch/unpraktisch,	,practical/impractical
romantisch,	,romantic
ruhig,	,quiet
schüchtern,	,shy
sportlich,	,athletic
stressig,	,stressful
sympathisch/unsympathisch,	,likable/unlikable
toll! (coll.),	,super!
ganz toll!,	,super! great!
Substantive,	,Nouns
der Amerikaner / die Amerikanerin,	,American
der Beruf,	,"profession, occupation"
Was sind Sie von Beruf?,	,What do you do for a living?
das Buch,	,book
(das) Deutsch,	,German (language)
das Essen,	,food; eating
das Fahrrad,	,bicycle
der Freund / die Freundin,	,friend
der Geburtsort,	,birthplace
der Geburtstag,	,"birthday, date of birth"
das Hobby,	,hobby
das Interesse,	,interest
das Jahr,	,year
Nächstes Jahr,	,next year
der Journalist / die Journalistin,	,journalist
der Mann,	,man
die Mensa,	,student cafeteria
die Musik,	,music
der Name,	,name
der Nachname,	,"family name, surname"
der Vorname,	,"first name, given name"
das Praktikum,	,internship
ein Praktikum machen,	,to do an internship
der Professor / die Professorin,	,professor
das Semester,	,semester
der Spaß,	,fun
der Student / die Studentin,	,student
die Universität,	,university
der Wohnort,	,place of residence
die Zeitung,	,newspaper
Verben,	,Verbs
arbeiten,	,to work
besuchen,	,to visit
bleiben,	,"to stay, remain"
diskutieren,	,to discuss
essen,	,to eat
fahren,	,"to drive, ride"
Fahrrad fahren,	,to ride a bicycle
finden,	,to find
Wie findest du …?,	,How do you like . . .?; What do you think of . . .?
gehen,	,to go
heißen,	,"to be called, be named"
hören,	,"to listen, hear"
kochen,	,to cook
kommen,	,to come
lernen,	,"to learn, study"
lesen,	,to read
machen,	,to do; to make
Kreuzworträtsel machen,	,to do crossword puzzles
reisen,	,to travel
sagen,	,"to say, tell"
sag mal,	,tell me
schicken,	,to send
sein,	,to be
spielen,	,to play
Computerspiele spielen,	,to play computer games
Karten spielen,	,to play cards
studieren,	,to study
surfen,	,to surf
im Internet surfen,	,to surf the Internet
tanzen,	,to dance
telefonieren,	,to talk on the phone
wandern,	,to hike
wohnen,	,"to reside, live"
Personalpronomen,	,Personal Pronouns
ich,	,I
du,	,you (informal sing.)
er,	,he; it
sie,	,she; it; they
es,	,it
Page 49 wir,	,we
ihr,	,you (informal pl.)
Sie,	,you (formal sing./pl.)
Interrogativpronomen,	,Interrogative Pronouns
wann,	,when
was,	,what
wer,	,who
wie,	,how
wo,	,where
woher,	,from where
Sonstiges,	,Other
aber,	,but
bestimmt,	,no doubt; definitely
danke sehr,	,thanks a lot
Das macht Spaß.,	,That's fun.
echt (coll.),	,really
ganz,	,"quite, very, really"
gern,	,gladly
gern + verb,	,to like doing something
heute,	,today
heute Abend,	,this evening
hier,	,here
ich bin geboren,	,I was born
immer,	,always
jetzt,	,now
natürlich,	,"of course, natural(ly)"
nicht,	,not
nie,	,never
oft,	,often
sehr,	,very
viel,	,"a lot, much"
viel Glück!,	,good luck!
viel Spaß!,	,have fun!
wirklich,	,really
