Zur Begrüßung,	,Greetings
grüß dich,	,"hello, hi (among friends and family)"
guten Abend,	,good evening
(guten) Morgen,	,good morning
(guten) Tag,	,"hello, good day"
hallo,	,hello (among friends and family)
herzlich willkommen,	,welcome
hi,	,hi
Beim Abschied,	,Saying Good-bye
(auf) Wiedersehen,	,good-bye
gute Nacht,	,good night
mach's gut,	,"take care, so long (informal)"
tschüss,	,"so long, ‘bye (informal)"
Bekannt werden,	,Getting Acquainted
Frau; die Frau,	,"Mrs., Ms.; woman"
Herr; der Herr,	,Mr.; gentleman
der Lehrer / die Lehrerin,	,teacher
Das ist …,	,This is . . .
Wie heißt du?,	,What's your name? (informal)
Wie ist dein Name?,	,What's your name? (informal)
Wie heißen Sie?,	,What's your name? (formal)
Wie ist Ihr Name?,	,What's your name? (formal)
Woher kommst du?,	,Where are you from? (informal)
Woher kommen Sie?,	,Where are you from? (formal)
Ich bin …,	,I'm . . .
Ich heiße …,	,My name is . . .
Ich komme aus …,	,I'm from . . .
Mein Name ist …,	,My name is . . .
bitte,	,please; you're welcome
danke,	,thanks
danke schön,	,thank you very much
Freut mich.,	,Pleased to meet you.
auch,	,"also, too"
und,	,and
Auskunft erfragen,	,Asking for Information
ja,	,yes
na klar,	,"absolutely, of course"
nein,	,no
Wie heißt …,	,What is the name of . . .
die Stadt?,	,the town; the city?
die Straße?,	,the street?
Wie ist …,	,What is . . .
deine/Ihre,	,your (informal / formal)
Telefonnummer?,	,telephone number?
die Adresse?,	,the address?
die Hausnummer?,	,the street address?
die Postleitzahl?,	,the postal code?
Nach dem Befinden fragen,	,Asking About Someone's Well-being
Geht's gut?,	,Are you doing well? (informal)
"Na, wie geht's?",	,How are you? (casual)
Wie geht's?,	,How are you? (informal)
Wie geht's dir?,	,How are you? (informal)
Wie geht es Ihnen?,	,How are you? (formal)
ausgezeichnet,	,excellent
"danke, gut",	,"fine, thanks"
ganz gut,	,pretty good/well
nicht besonders gut,	,not particularly well
schlecht,	,"bad(ly), poor(ly)"
sehr gut,	,very well; fine; good
Im Deutschunterricht,	,In German Class
Alles klar.,	,I get it.
Das weiß ich nicht.,	,I don't know.
Ich habe eine Frage.,	,I have a question.
Ich verstehe das nicht.,	,I don't understand.
"Langsamer, bitte.",	,"Slower, please."
Was bedeutet ?,	,What does mean?
Wie bitte?,	,Excuse me? What did you say?
Wie sagt man auf Deutsch?,	,How do you say in German?
Wie schreibt man ?,	,How do you write ?
Zahlen (Numbers),	, 
0 null,	,17 siebzehn
1 eins,	,18 achtzehn
2 zwei,	,19 neunzehn
3 drei,	,20 zwanzig
4 vier,	,30 dreißig
5 fünf,	,40 vierzig
6 sechs,	,50 fünfzig
7 sieben,	,60 sechzig
8 acht,	,70 siebzig
9 neun,	,80 achtzig
10 zehn,	,90 neunzig
11 elf,	,100 (ein)hundert
12 zwölf,	,200 zweihundert
13 dreizehn,	,300 dreihundert
14 vierzehn,	,1 000 (ein)tausend
15 fünfzehn,	,2 000 zweitausend
16 sechzehn,	,3 000 dreitausend
Deutschsprachige Länder und ihre Nachbarn,	,German-speaking Countries and Their Neighbors
Belgien,	,Belgium
Dänemark,	,Denmark
Deutschland,	,Germany
Frankreich,	,France
Italien,	,Italy
Liechtenstein,	,Liechtenstein
Luxemburg,	,Luxembourg
die Niederlande (pl.),	,the Netherlands
Österreich,	,Austria
Polen,	,Poland
die Schweiz,	,Switzerland
die Slowakei,	,Slovakia
Slowenien,	,Slovenia
Tschechien,	,the Czech Republic
Ungarn,	,Hungary
