Sport und Vergnügen,	,Sports and Leisure
angeln,	,to fish
bloggen,	,to blog
Bodybuilding machen,	,"to do bodybuilding, weight training"
"der Brief, -e",	,letter
"die Briefmarke, -n",	,postage stamp
faulenzen,	,"to be lazy, lie around"
die Freizeit,	,free time
"der Fußball, e",	,soccer; soccer ball
Fußball spielen,	,to play soccer
joggen,	,to jog
"die Karte, -n",	,card
malen,	,to paint
"Rad fahren (fährt Rad), ist Rad gefahren",	,"to bicycle, ride a bike"
"reiten, ist geritten",	,to ride (horseback)
sammeln,	,to collect
Schach spielen,	,to play chess
"Schlittschuh laufen (läuft), ist gelaufen",	,to ice-skate
segeln,	,to sail
"Ski fahren (fährt Ski), ist Ski gefahren",	,to ski
"die Spielkarte, -n",	,playing card
"der Sport, pl. Sportarten",	,"sports, sport"
"Sport treiben, getrieben",	,to play sports
tauchen,	,to dive
Tennis spielen,	,to play tennis
"(Zeit) verbringen, verbracht",	,to spend (time)
"der Verein, -e",	,"club, association"
"der Wagen, -",	,car
zeichnen,	,to draw
Orte,	,Locations
"der Berg, -e",	,mountain
"der Fluss, e",	,river
"das Freibad, er",	,outdoor swimming pool
"das Meer, -e",	,"sea, ocean"
"das Schwimmbad, er",	,swimming pool
"der See, -n",	,lake
"der Sportplatz, e",	,athletic field
"der Tennisplatz, e",	,tennis court
"der Wald, er",	,forest
"die Wiese, -n",	,meadow
Die Jahreszeiten,	,Seasons
das Frühjahr,	,spring
der Frühling,	,spring
der Herbst,	,"autumn, fall"
der Sommer,	,summer
der Winter,	,winter
Das Wetter,	,Weather
"das Blatt, er",	,leaf
"das Gewitter, -",	,thunderstorm
der Grad,	,degree(s)
35 Grad,	,35 degrees
der Himmel,	,sky
der Regen,	,rain
"der Regenschauer, -",	,rain shower
"der Regenschirm, -e",	,umbrella
der Schnee,	,snow
die Sonne,	,sun
Die Sonne scheint.,	,The sun is shining.
der Sonnenschein,	,sunshine
"die Temperatur, -en",	,temperature
"der Wetterbericht, -e",	,weather report
"der Wind, -e",	,wind
"die Wolke, -n",	,cloud
blitzen,	,to flash
Es blitzt.,	,There's lightning.
donnern,	,to thunder
Es donnert.,	,It's thundering.
regnen,	,to rain
Es regnet.,	,It's raining.
schneien,	,to snow
Es schneit.,	,It's snowing.
angenehm,	,pleasant
bewölkt,	,"overcast, cloudy"
heiß,	,hot
heiter,	,"fair, bright"
kalt; kälter,	,cold; colder
kühl,	,cool
kurz; kürzer,	,short; shorter
lang; länger,	,long; longer
neblig,	,foggy
regnerisch,	,rainy
schwül,	,"muggy, humid"
sonnig,	,sunny
stark; stärker,	,strong; stronger
warm; wärmer,	,warm; warmer
windig,	,windy
wolkenlos,	,cloudless
Andere Verben,	,Other Verbs
"bringen, gebracht",	,to bring
dauern,	,to last; to take
"fallen (fällt), ist gefallen",	,to fall
"fliegen, ist geflogen",	,to fly
"passieren, ist passiert",	,to happen
reservieren,	,to reserve
"verlieren, verloren",	,to lose
Sonstiges,	,Other
als,	,than
beliebt,	,popular
denn,	,"because, for"
draußen,	,outside
dreimal,	,three times
drinnen,	,inside
einmal,	,once
einmal die Woche,	,once a week
einmal im Monat,	,once a month
einmal im Jahr,	,once a year
früher,	,"earlier, once, used to (do, be, etc.)"
genauso,	,just/exactly as
gestern,	,yesterday
jeden Tag,	,every day
oder,	,or
so … wie,	,as … as
sondern,	,"but, rather"
zweimal,	,twice
